"Index","Year","Age","Name","Movie"
"1","1928","24","JANET GAYNOR","Seventh Heaven Street Angel and Sunrise: A Song of Two Humans"
"2","1929","39","MARY PICKFORD","Coquette"
"3","1930","30","NORMA SHEARER","The Divorcee"
"4","1931","65","MARIE DRESSLER","Min and Bill"
"5","1932","34","HELEN HAYES","The Sin of Madelon Claudet"
"6","1933","28","KATHARINE HEPBURN","Morning Glory"
"7","1934","33","CLAUDETTE COLBERT","It Happened One Night"
"8","1935","29","BETTE DAVIS","Dangerous"
"9","1936","29","LUISE RAINER","The Great Ziegfeld"
"10","1937","30","LUISE RAINER","The Good Earth"
"11","1938","32","BETTE DAVIS","Jezebel"
"12","1939","28","VIVIEN LEIGH","Gone with the Wind"
"13","1940","31","GINGER ROGERS","Kitty Foyle"
"14","1941","26","JOAN FONTAINE","Suspicion"
"15","1942","40","GREER GARSON","Mrs. Miniver"
"16","1943","27","JENNIFER JONES","The Song of Bernadette"
"17","1944","31","INGRID BERGMAN","Gaslight"
"18","1945","42","JOAN CRAWFORD","Mildred Pierce"
"19","1946","32","OLIVIA DE HAVILLAND","To Each His Own"
"20","1947","37","LORETTA YOUNG","The Farmer's Daughter"
"21","1948","34","JANE WYMAN","Johnny Belinda"
"22","1949","35","OLIVIA DE HAVILLAND","The Heiress"
"23","1950","31","JUDY HOLLIDAY","Born Yesterday"
"24","1951","40","VIVIEN LEIGH","A Streetcar Named Desire"
"25","1952","56","SHIRLEY BOOTH","Come Back Little Sheba"
"26","1953","26","AUDREY HEPBURN","Roman Holiday"
"27","1954","27","GRACE KELLY","The Country Girl"
"28","1955","50","ANNA MAGNANI","The Rose Tattoo"
"29","1956","43","INGRID BERGMAN","Anastasia"
"30","1957","30","JOANNE WOODWARD","The Three Faces of Eve"
"31","1958","43","SUSAN HAYWARD","I Want to Live!"
"32","1959","41","SIMONE SIGNORET","Room at the Top"
"33","1960","31","ELIZABETH TAYLOR","Butterfield 8"
"34","1961","29","SOPHIA LOREN","Two Women"
"35","1962","33","ANNE BANCROFT","The Miracle Worker"
"36","1963","33","PATRICIA NEAL","Hud"
"37","1964","31","JULIE ANDREWS","Mary Poppins"
"38","1965","27","JULIE CHRISTIE","Darling"
"39","1966","37","ELIZABETH TAYLOR","Who's Afraid of Virginia Woolf?"
"40","1967","62","KATHARINE HEPBURN","Guess Who's Coming to Dinner"
"41","1968","63","KATHARINE HEPBURN","The Lion in Winter"
"42","1969","28","BARBRA STREISAND","Funny Girl"
"43","1970","37","MAGGIE SMITH","The Prime of Miss Jean Brodie"
"44","1971","36","GLENDA JACKSON","Women in Love"
"45","1972","36","JANE FONDA","Klute"
"46","1973","29","LIZA MINNELLI","Cabaret"
"47","1974","39","GLENDA JACKSON","A Touch of Class"
"48","1975","44","ELLEN BURSTYN","Alice Doesn't Live Here Anymore"
"49","1976","43","LOUISE FLETCHER","One Flew Over the Cuckoo's Nest"
"50","1977","38","FAYE DUNAWAY","Network"
"51","1978","34","DIANE KEATON","Annie Hall"
"52","1979","43","JANE FONDA","Coming Home"
"53","1980","35","SALLY FIELD","Norma Rae"
"54","1981","33","SISSY SPACEK","Coal Miner's Daughter"
"55","1982","76","KATHARINE HEPBURN","On Golden Pond"
"56","1983","35","MERYL STREEP","Sophie's Choice"
"57","1984","51","SHIRLEY MACLAINE","Terms of Endearment"
"58","1985","40","SALLY FIELD","Places in the Heart"
"59","1986","63","GERALDINE PAGE","The Trip to Bountiful"
"60","1987","23","MARLEE MATLIN","Children of a Lesser God"
"61","1988","43","CHER","Moonstruck"
"62","1989","28","JODIE FOSTER","The Accused"
"63","1990","82","JESSICA TANDY","Driving Miss Daisy"
"64","1991","44","KATHY BATES","Misery"
"65","1992","31","JODIE FOSTER","The Silence of the Lambs"
"66","1993","35","EMMA THOMPSON","Howards End"
"67","1994","38","HOLLY HUNTER","The Piano"
"68","1995","47","JESSICA LANGE","Blue Sky"
"69","1996","51","SUSAN SARANDON","Dead Man Walking"
"70","1997","41","FRANCES MCDORMAND","Fargo"
"71","1998","36","HELEN HUNT","As Good as It Gets"
"72","1999","28","GWYNETH PALTROW","Shakespeare in Love"
"73","2000","27","HILARY SWANK","Boys Don't Cry"
"74","2001","35","JULIA ROBERTS","Erin Brockovich"
"75","2002","37","HALLE BERRY","Monster's Ball"
"76","2003","37","NICOLE KIDMAN","The Hours"
"77","2004","30","CHARLIZE THERON","Monster"
"78","2005","32","HILARY SWANK","Million Dollar Baby"
"79","2006","31","REESE WITHERSPOON","Walk the Line"
"80","2007","63","HELEN MIRREN","The Queen"
"81","2008","34","MARION COTILLARD","La Vie en rose"
"82","2009","35","KATE WINSLET","The Reader"
"83","2010","47","SANDRA BULLOCK","The Blind Side"
"84","2011","31","NATALIE PORTMAN","Black Swan"
"85","2012","64","MERYL STREEP","The Iron Lady"
"86","2013","24","JENNIFER LAWRENCE","Silver Linings Playbook"
"87","2014","46","CATE BLANCHETT","Blue Jasmine"
"88","2015","56","JULIANNE MOORE","Still Alice"
"89","2016","28","BRIE LARSON","Room"
"90","2017","31","EMMA STONE","La La Land"
"91","2018","62","FRANCES MCDORMAND","Three Billboards Outside Ebbing, Missouri"
"92","2019","47","OLIVIA COLMAN","The Favourite"
"93","2020","52","RENNE ZELLWEGER","Judy"
"94","2020","52","RENNE ZELLWEGER","Judy"
"95","2020","52","RENNE ZELLWEGER","Judy"
"96","2020","52","RENNE ZELLWEGER","Judy"
